[15-Aug-2022 08:14:44 UTC] PHP Deprecated:  Non-static method Todo_main::get_instance() should not be called statically in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 244
[15-Aug-2022 08:19:03 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 105
[15-Aug-2022 08:19:03 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 08:31:36 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 105
[15-Aug-2022 08:31:36 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:19:52 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 104
[15-Aug-2022 09:19:52 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:20:05 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 103
[15-Aug-2022 09:20:05 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:21:28 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 104
[15-Aug-2022 09:21:28 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:21:39 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 104
[15-Aug-2022 09:21:39 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:21:48 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 104
[15-Aug-2022 09:21:48 UTC] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 64
[15-Aug-2022 09:26:23 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 96
[15-Aug-2022 09:26:23 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:23 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 96
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 96
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 96
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Undefined variable: response in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 96
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:26:24 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 61
[15-Aug-2022 09:27:46 UTC] PHP Parse error:  syntax error, unexpected ''post_type'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 59
[15-Aug-2022 09:27:50 UTC] PHP Parse error:  syntax error, unexpected ''post_type'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 59
[15-Aug-2022 09:27:50 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5831
[15-Aug-2022 09:27:50 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5831
[15-Aug-2022 09:27:51 UTC] PHP Parse error:  syntax error, unexpected ''post_type'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 59
[15-Aug-2022 09:32:03 UTC] PHP Notice:  Undefined variable: i in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 57
[15-Aug-2022 09:32:03 UTC] PHP Notice:  Undefined index:  in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 57
[15-Aug-2022 09:32:03 UTC] PHP Notice:  Trying to get property 'title' of non-object in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/plugins/todo/classes/class-reports.php on line 57
[15-Aug-2022 09:55:23 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:57:20 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:57:38 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:58:00 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:58:01 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:58:01 UTC] PHP Deprecated:  File Theme without header.php is <strong>deprecated</strong> since version 3.0.0 with no alternative available. Please include a header.php template in your theme. in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/functions.php on line 5579
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(templates/head.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(): Failed opening 'templates/head.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(templates/header.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(): Failed opening 'templates/header.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(templates/head.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(): Failed opening 'templates/head.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(templates/header.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 09:58:51 UTC] PHP Warning:  include(): Failed opening 'templates/header.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 09:58:52 UTC] PHP Warning:  include(templates/head.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:52 UTC] PHP Warning:  include(): Failed opening 'templates/head.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 3
[15-Aug-2022 09:58:52 UTC] PHP Warning:  include(templates/header.php): failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 09:58:52 UTC] PHP Warning:  include(): Failed opening 'templates/header.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php') in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwentytwo/posts.php on line 4
[15-Aug-2022 10:15:19 UTC] PHP Notice:  Undefined variable: enable_header_search in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwenty/posts.php on line 97
[15-Aug-2022 10:15:19 UTC] PHP Notice:  Undefined variable: enable_header_search in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwenty/posts.php on line 151
[15-Aug-2022 10:15:20 UTC] PHP Notice:  Undefined variable: enable_header_search in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwenty/posts.php on line 97
[15-Aug-2022 10:15:20 UTC] PHP Notice:  Undefined variable: enable_header_search in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-content/themes/twentytwenty/posts.php on line 151
[15-Aug-2022 10:17:33 UTC] PHP Notice:  Undefined offset: 3 in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/class-wp-query.php on line 3421
[15-Aug-2022 10:17:45 UTC] PHP Notice:  Undefined offset: 3 in /Applications/XAMPP/xamppfiles/htdocs/wordpress/wp-includes/class-wp-query.php on line 3421
